event_id,base_price,recommended_price,premium_seats,forecast_demand,expected_revenue,trend,status,explanation
E001,650.0,777.5,114,2.34,1818.51,STABLE,PENDING_ADMIN_APPROVAL,"Price was increased from Rs 650 to Rs 778 because trend is STABLE, sold ratio is 95.9%, latest views are 1627, and nonlinear demand is combined with Holt time-series forecasting. The final price respects min/max limits and the 20% fairness cap."
E002,1250.0,1487.5,55,0.74,1105.42,STABLE,PENDING_ADMIN_APPROVAL,"Price was increased from Rs 1250 to Rs 1488 because trend is STABLE, sold ratio is 70.5%, latest views are 792, and nonlinear demand is combined with Holt time-series forecasting. The final price respects min/max limits and the 20% fairness cap."
E003,1150.0,977.5,24,0.0,0.0,STABLE,PENDING_ADMIN_APPROVAL,"Price was reduced from Rs 1150 to Rs 978 because trend is STABLE, sold ratio is 100.0%, latest views are 1242, and nonlinear demand is combined with Holt time-series forecasting. The final price respects min/max limits and the 20% fairness cap."
E004,1000.0,1200.0,69,8.08,9692.17,STABLE,PENDING_ADMIN_APPROVAL,"Price was increased from Rs 1000 to Rs 1200 because trend is STABLE, sold ratio is 65.3%, latest views are 918, and nonlinear demand is combined with Holt time-series forecasting. The final price respects min/max limits and the 20% fairness cap."
E005,1200.0,1420.0,53,0.58,825.12,STABLE,PENDING_ADMIN_APPROVAL,"Price was increased from Rs 1200 to Rs 1420 because trend is STABLE, sold ratio is 84.5%, latest views are 1378, and nonlinear demand is combined with Holt time-series forecasting. The final price respects min/max limits and the 20% fairness cap."
E006,300.0,355.0,70,2.27,807.59,STABLE,PENDING_ADMIN_APPROVAL,"Price was increased from Rs 300 to Rs 355 because trend is STABLE, sold ratio is 73.0%, latest views are 1126, and nonlinear demand is combined with Holt time-series forecasting. The final price respects min/max limits and the 20% fairness cap."
E007,1150.0,1377.5,42,4.97,6845.31,STABLE,PENDING_ADMIN_APPROVAL,"Price was increased from Rs 1150 to Rs 1378 because trend is STABLE, sold ratio is 70.0%, latest views are 1103, and nonlinear demand is combined with Holt time-series forecasting. The final price respects min/max limits and the 20% fairness cap."
E008,800.0,955.0,77,3.17,3028.9,STABLE,PENDING_ADMIN_APPROVAL,"Price was increased from Rs 800 to Rs 955 because trend is STABLE, sold ratio is 76.8%, latest views are 952, and nonlinear demand is combined with Holt time-series forecasting. The final price respects min/max limits and the 20% fairness cap."
E009,500.0,600.0,113,0.55,327.38,STABLE,PENDING_ADMIN_APPROVAL,"Price was increased from Rs 500 to Rs 600 because trend is STABLE, sold ratio is 65.2%, latest views are 800, and nonlinear demand is combined with Holt time-series forecasting. The final price respects min/max limits and the 20% fairness cap."
E010,1000.0,1200.0,81,1.54,1849.34,STABLE,PENDING_ADMIN_APPROVAL,"Price was increased from Rs 1000 to Rs 1200 because trend is STABLE, sold ratio is 83.5%, latest views are 1280, and nonlinear demand is combined with Holt time-series forecasting. The final price respects min/max limits and the 20% fairness cap."
